subject,run,onset,duration,genre,track,start,end
sub-002,04,570,15,'classical',92,5.96,20.96
sub-002,04,585,15,'pop',68,1.93,16.93
sub-002,04,600,15,'jazz',45,8.13,23.13
sub-002,05,0,15,'reggae',47,6.57,21.57
sub-002,05,15,15,'pop',79,13.47,28.47
sub-002,05,30,15,'country',59,7.04,22.04
sub-002,05,45,15,'classical',25,3.72,18.72
sub-002,05,60,15,'metal',26,8.41,23.41
sub-002,05,75,15,'disco',72,5.53,20.53
sub-002,05,90,15,'hiphop',42,9.9,24.9
sub-002,05,105,15,'rock',69,6.37,21.37
sub-002,05,120,15,'blues',47,14.05,29.05
sub-002,05,135,15,'jazz',59,0.26,15.26
sub-002,05,150,15,'reggae',47,6.57,21.57
sub-002,05,165,15,'pop',79,13.47,28.47
sub-002,05,180,15,'country',59,7.04,22.04
sub-002,05,195,15,'classical',25,3.72,18.72
sub-002,05,210,15,'metal',26,8.41,23.41
sub-002,05,225,15,'disco',72,5.53,20.53
sub-002,05,240,15,'hiphop',42,9.9,24.9
sub-002,05,255,15,'rock',69,6.37,21.37
sub-002,05,270,15,'blues',47,14.05,29.05
sub-002,05,285,15,'jazz',59,0.26,15.26
sub-002,05,300,15,'reggae',47,6.57,21.57
sub-002,05,315,15,'pop',79,13.47,28.47
sub-002,05,330,15,'country',59,7.04,22.04
sub-002,05,345,15,'classical',25,3.72,18.72
sub-002,05,360,15,'metal',26,8.41,23.41
sub-002,05,375,15,'disco',72,5.53,20.53
sub-002,05,390,15,'hiphop',42,9.9,24.9
sub-002,05,405,15,'rock',69,6.37,21.37
sub-002,05,420,15,'blues',47,14.05,29.05
sub-002,05,435,15,'jazz',59,0.26,15.26
sub-002,05,450,15,'reggae',47,6.57,21.57
sub-002,05,465,15,'pop',79,13.47,28.47
sub-002,05,480,15,'country',59,7.04,22.04
sub-002,05,495,15,'classical',25,3.72,18.72
sub-002,05,510,15,'metal',26,8.41,23.41
sub-002,05,525,15,'disco',72,5.53,20.53
sub-002,05,540,15,'hiphop',42,9.9,24.9
sub-002,05,555,15,'rock',69,6.37,21.37
sub-002,05,570,15,'blues',47,14.05,29.05
sub-002,05,585,15,'jazz',59,0.26,15.26
sub-002,05,600,15,'reggae',47,6.57,21.57
sub-002,06,0,15,'reggae',13,3.6,18.6
sub-002,06,15,15,'blues',16,8.35,23.35
sub-002,06,30,15,'pop',24,14.44,29.44
sub-002,06,45,15,'classical',7,8.91,23.91
sub-002,06,60,15,'disco',4,6.47,21.47
sub-002,06,75,15,'metal',22,0.36,15.36
sub-002,06,90,15,'jazz',69,1.97,16.97
sub-002,06,105,15,'hiphop',7,0.06,15.06
sub-002,06,120,15,'country',48,14.72,29.72
sub-002,06,135,15,'rock',75,8.92,23.92
sub-002,06,150,15,'reggae',13,3.6,18.6
sub-002,06,165,15,'blues',16,8.35,23.35
sub-002,06,180,15,'pop',24,14.44,29.44
sub-002,06,195,15,'classical',7,8.91,23.91
sub-002,06,210,15,'disco',4,6.47,21.47
sub-002,06,225,15,'metal',22,0.36,15.36
sub-002,06,240,15,'jazz',69,1.97,16.97
sub-002,06,255,15,'hiphop',7,0.06,15.06
sub-002,06,270,15,'country',48,14.72,29.72
sub-002,06,285,15,'rock',75,8.92,23.92
sub-002,06,300,15,'reggae',13,3.6,18.6
